Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-07-22 00:00:00-04:00,14.675618279020249,15.11571794199035,14.59098348009915,14.86181354522705,26066900,0.0,0.0
2013-07-23 00:00:00-04:00,14.878743156042958,15.36115948682327,14.701011503344855,15.318842887878418,20759400,0.0,0.0
2013-07-24 00:00:00-04:00,15.234210302681896,15.284990551693832,14.25245021231773,14.531744003295898,23099200,0.0,0.0
2013-07-25 00:00:00-04:00,14.548666104243075,15.073398923599749,14.413251078972033,14.819496154785156,13205700,0.0,0.0
2013-07-26 00:00:00-04:00,14.692542800411202,15.081860542297363,14.531736874109683,15.081860542297363,13327700,0.0,0.0
2013-07-29 00:00:00-04:00,15.08186799684731,15.09879528467189,14.76025759955537,14.853354454040527,11062600,0.0,0.0
2013-07-30 00:00:00-04:00,14.785644613884148,14.844890112041615,14.4978872227898,14.557132720947266,14006300,0.0,0.0
2013-07-31 00:00:00-04:00,14.489425562034288,14.836426845813968,14.066253107251772,14.362472534179688,19604300,0.0,0.0
2013-08-01 00:00:00-04:00,14.675622807007374,14.751793988110613,14.21859572038793,14.227059364318848,18662900,0.0,0.0
2013-08-02 00:00:00-04:00,14.167816117410764,14.76872194971899,14.074717644198552,14.117035865783691,16412600,0.0,0.0
2013-08-05 00:00:00-04:00,14.108571616913117,14.235523047678468,13.837741467473698,13.871594429016113,11899700,0.0,0.0
2013-08-06 00:00:00-04:00,13.67693451168597,13.70232544178687,13.22837190602364,13.245298385620117,14259200,0.0,0.0
2013-08-07 00:00:00-04:00,13.16912724760899,13.507664891141392,13.143736318991003,13.160663604736328,11890100,0.0,0.0
2013-08-08 00:00:00-04:00,13.397636011087188,14.506347072616094,13.380709537462247,14.472494125366211,26162100,0.0,0.0
2013-08-09 00:00:00-04:00,14.438642482595816,14.997229946468567,14.210130603211269,14.743327140808105,18483100,0.0,0.0
2013-08-12 00:00:00-04:00,15.318841833173469,15.60659920615568,15.301914549051064,15.411938667297363,22492000,0.0,0.0
2013-08-13 00:00:00-04:00,15.259599098700354,15.46272168059552,14.895670534118473,15.06493854522705,15051600,0.0,0.0
2013-08-14 00:00:00-04:00,15.21727975677901,15.962064116106545,15.149572234501477,15.852038383483887,19878000,0.0,0.0
2013-08-15 00:00:00-04:00,15.648917271814415,16.825336186132525,15.54735678609153,16.76609230041504,30550500,0.0,0.0
2013-08-16 00:00:00-04:00,16.918437539741085,17.138487448846696,16.165190953619064,16.35984992980957,22409700,0.0,0.0
2013-08-19 00:00:00-04:00,16.436017310256343,16.596823286284174,16.105943330129232,16.275211334228516,16903800,0.0,0.0
2013-08-20 00:00:00-04:00,16.165189474527693,16.876119388350585,16.131334900405204,16.732240676879883,14342100,0.0,0.0
2013-08-21 00:00:00-04:00,16.613744019255897,16.799940866986315,16.131327848816603,16.13979148864746,18525700,0.0,0.0
2013-08-22 00:00:00-04:00,16.49526621638469,16.799950976546146,16.351387481227913,16.55451011657715,12628800,0.0,0.0
2013-08-23 00:00:00-04:00,16.53758317288444,17.18080399502987,16.402166478760307,16.98614501953125,18043900,0.0,0.0
2013-08-26 00:00:00-04:00,17.180801055013916,17.460094811193606,16.98614211282576,17.29082679748535,16662700,0.0,0.0
2013-08-27 00:00:00-04:00,17.764782869069226,17.942516173627315,16.647607632218772,16.689924240112305,21779600,0.0,0.0
2013-08-28 00:00:00-04:00,16.85962077770982,17.34326336916718,16.342037560280243,16.401432037353516,18754400,0.05,0.0
2013-08-29 00:00:00-04:00,16.29961443473375,16.87659222328687,16.011127158835574,16.706893920898438,17170200,0.0,0.0
2013-08-30 00:00:00-04:00,16.435371286028943,16.494765758124913,16.129912151389114,16.248701095581055,17245400,0.0,0.0
2013-09-03 00:00:00-04:00,16.49477039767252,16.740833511049516,16.435375908870437,16.55416488647461,13564000,0.0,0.0
2013-09-04 00:00:00-04:00,16.291131112553796,16.528709062742482,16.240220164617586,16.469314575195312,15867900,0.0,0.0
2013-09-05 00:00:00-04:00,16.350520225139228,16.418399848361467,15.985666643427969,16.045061111450195,13964800,0.0,0.0
2013-09-06 00:00:00-04:00,16.401428361457345,16.562643061937653,16.146880197227606,16.18930435180664,15915900,0.0,0.0
2013-09-09 00:00:00-04:00,16.240221022640604,16.392950637761615,16.138402358145587,16.2911319732666,11958100,0.0,0.0
2013-09-10 00:00:00-04:00,15.858396740187818,16.002641179925472,15.510513377004942,15.646272659301758,18749800,0.0,0.0
2013-09-11 00:00:00-04:00,15.680205470178693,15.824449852877013,15.476566627259476,15.815964698791504,12780700,0.0,0.0
2013-09-12 00:00:00-04:00,15.188084471994332,15.30687506251362,14.908080738820466,14.942021369934082,18555100,0.0,0.0
2013-09-13 00:00:00-04:00,14.848685059593345,15.137173927364275,14.755349949909151,15.035353660583496,14576500,0.0,0.0
2013-09-16 00:00:00-04:00,15.357790329000393,15.807492536487672,15.281425497846138,15.391729354858398,20108800,0.0,0.0
2013-09-17 00:00:00-04:00,15.637787463451069,15.688696789592754,15.23050961756099,15.552937507629395,13382800,0.0,0.0
2013-09-18 00:00:00-04:00,15.366270157596135,17.300840893150905,15.332329525137348,17.063262939453125,32510100,0.0,0.0
2013-09-19 00:00:00-04:00,17.063256769083427,17.122651236029803,16.17233490975425,16.49476432800293,23338300,0.0,0.0
2013-09-20 00:00:00-04:00,16.265677281092632,16.325071774637454,15.697184585425848,15.790519714355469,32678000,0.0,0.0
2013-09-23 00:00:00-04:00,15.748093525609162,16.12143241359633,15.519000716015213,15.569910049438477,14641900,0.0,0.0
2013-09-24 00:00:00-04:00,15.45960468355701,15.866884208132998,15.315360222814764,15.748093605041504,16019300,0.0,0.0
2013-09-25 00:00:00-04:00,15.790515620516695,16.155369264418688,15.612330567699793,15.841424942016602,14006500,0.0,0.0
2013-09-26 00:00:00-04:00,15.900820624447551,16.06203537618173,15.578392739357463,15.722637176513672,11301300,0.0,0.0
2013-09-27 00:00:00-04:00,15.909305781736537,16.104459544248385,15.646272379291075,15.722637176513672,11783500,0.0,0.0
2013-09-30 00:00:00-04:00,15.586876679525425,15.968699017445056,15.527480583140544,15.79900074005127,10616100,0.0,0.0
2013-10-01 00:00:00-04:00,15.417182247624169,15.502032225581084,15.145663612865013,15.298393249511719,14123300,0.0,0.0
2013-10-02 00:00:00-04:00,15.561421750702102,15.94324572027554,15.46808664294455,15.620816230773926,16569700,0.0,0.0
2013-10-03 00:00:00-04:00,15.552932248732258,15.688691484791486,15.315352776439733,15.357778549194336,11519400,0.0,0.0
2013-10-04 00:00:00-04:00,15.408697087990605,15.527486086103055,15.272937770611026,15.298393249511719,7255500,0.0,0.0
2013-10-07 00:00:00-04:00,15.391718934935412,15.586874270423438,15.366265087368463,15.510509490966797,7740100,0.0,0.0
2013-10-08 00:00:00-04:00,15.493544697099166,15.510515013771657,14.8911114022535,14.98444652557373,10710700,0.0,0.0
2013-10-09 00:00:00-04:00,14.899592453676123,15.179596128078318,14.577164617664941,14.992927551269531,12505200,0.0,0.0
2013-10-10 00:00:00-04:00,14.967476579502065,15.400209955094416,14.772322788071746,15.137176513671875,16105600,0.0,0.0
2013-10-11 00:00:00-04:00,14.83171193027217,14.916561866754867,14.551708272743824,14.619587898254395,20542600,0.0,0.0
2013-10-14 00:00:00-04:00,14.738379424882401,14.806259054852156,14.534738916595103,14.645044326782227,9570900,0.0,0.0
2013-10-15 00:00:00-04:00,14.577167434394395,15.103234260860464,14.534741646209493,15.086265563964844,15538100,0.0,0.0
2013-10-16 00:00:00-04:00,15.018383936726442,15.154143204222295,14.755348939872366,14.950504302978516,13051300,0.0,0.0
2013-10-17 00:00:00-04:00,15.434155800815583,15.985678345528179,15.357790966491478,15.697189331054688,18348100,0.0,0.0
2013-10-18 00:00:00-04:00,15.663243292529183,15.815972908592341,15.569909785896089,15.714154243469238,8759400,0.0,0.0
2013-10-21 00:00:00-04:00,15.832941481104921,16.09597489180027,15.815971165994686,16.07900619506836,8509300,0.0,0.0
2013-10-22 00:00:00-04:00,16.333558543756528,16.893566135786454,16.333558543756528,16.86811065673828,18320100,0.0,0.0
2013-10-23 00:00:00-04:00,16.70689285192364,16.868105986120824,16.34203917848467,16.452342987060547,12051400,0.0,0.0
2013-10-24 00:00:00-04:00,16.817201347907993,17.283875421042534,16.622047529983107,17.029325485229492,16434100,0.0,0.0
2013-10-25 00:00:00-04:00,16.961444267285824,17.139629367817836,16.66447017865153,17.08871841430664,12223300,0.0,0.0
2013-10-28 00:00:00-04:00,17.173561734626148,17.495991175154757,16.825678445577562,17.18204689025879,12320200,0.0,0.0
2013-10-29 00:00:00-04:00,17.105685691144036,17.15659501722613,16.740832014402706,16.77477264404297,11607700,0.0,0.0
2013-10-30 00:00:00-04:00,17.0547726309087,17.419626227765104,16.477795000380244,17.3941707611084,22733500,0.0,0.0
2013-10-31 00:00:00-04:00,16.91053177278715,17.131141008317183,16.350524335817934,16.452342987060547,24625600,0.0,0.0
2013-11-01 00:00:00-04:00,15.408686192383275,15.663234327882247,15.162623210517946,15.281412124633789,74458200,0.0,0.0
2013-11-04 00:00:00-05:00,15.425665906444824,15.56142521061594,15.222026950188148,15.535969734191895,23644000,0.0,0.0
2013-11-05 00:00:00-05:00,15.459598559077104,15.527478183218797,15.349294776738565,15.510509490966797,16473200,0.0,0.0
2013-11-06 00:00:00-05:00,15.51899627801632,15.569905596880941,15.451115028359402,15.561420440673828,32918800,0.0,0.0
2013-11-07 00:00:00-05:00,15.41717593087912,15.569905504949269,15.357781456158074,15.425661087036133,29830200,0.0,0.0
2013-11-08 00:00:00-05:00,15.272936574793246,15.485060693887597,14.925053148948798,15.45960521697998,20904100,0.0,0.0
2013-11-11 00:00:00-05:00,15.28990151246713,15.493540400935105,15.154142253488482,15.4341459274292,16576400,0.0,0.0
2013-11-12 00:00:00-05:00,15.400211928357042,15.485061906313957,15.222028431188365,15.298393249511719,14658000,0.0,0.0
2013-11-13 00:00:00-05:00,15.391717549020267,15.434143321774872,15.281413776613803,15.357778549194336,13874900,0.0,0.0
2013-11-14 00:00:00-05:00,15.425668382817372,15.459607405119298,15.272938736511644,15.366273880004883,21292900,0.0,0.0
2013-11-15 00:00:00-05:00,15.400202692320846,15.425658155955013,15.33232307434082,15.33232307434082,16064800,0.0,0.0
2013-11-18 00:00:00-05:00,15.306871849661336,15.315355387280713,14.91656276567093,14.992927551269531,16396400,0.0,0.0
2013-11-19 00:00:00-05:00,15.060809173673025,15.188083293718558,14.975959220849923,15.12868881225586,11678100,0.0,0.0
2013-11-20 00:00:00-05:00,14.933535064731426,15.086264656250925,14.39049633728674,14.577166557312012,25133200,0.0,0.0
2013-11-21 00:00:00-05:00,14.441408408987082,14.526258368506328,14.05958440033965,14.297163963317871,25783700,0.0,0.0
2013-11-22 00:00:00-05:00,14.365043762327948,14.577167854226758,13.872915933857845,13.898369789123535,19916100,0.0,0.0
2013-11-25 00:00:00-05:00,13.745641488586381,14.152919347323282,13.491091613092056,13.906854629516602,27836200,0.0,0.0
2013-11-26 00:00:00-05:00,13.728674595086753,13.898372936001975,13.592915275003074,13.754128456115723,14120400,0.0,0.0
2013-11-27 00:00:00-05:00,14.00094989919261,14.128617804757198,13.77965810530076,13.924348831176758,11241600,0.05,0.0
2013-11-29 00:00:00-05:00,14.111597112281087,14.188198191847333,13.992440598905036,14.034996032714844,5895800,0.0,0.0
2013-12-02 00:00:00-05:00,13.830726321797822,14.02648390473994,13.217918528265711,13.22642993927002,19954800,0.0,0.0
2013-12-03 00:00:00-05:00,13.209408628251772,13.45623387859368,13.124296137088546,13.200897216796875,16259200,0.0,0.0
2013-12-04 00:00:00-05:00,13.286007713545725,13.490277511814778,12.988115644378555,13.345586776733398,26336700,0.0,0.0
2013-12-05 00:00:00-05:00,13.166852566229755,13.464744666068228,13.03918382770508,13.132807731628418,16348300,0.0,0.0
2013-12-06 00:00:00-05:00,13.183870343282843,13.345583864469633,13.064713866295335,13.107269287109375,13779400,0.0,0.0
2013-12-09 00:00:00-05:00,13.303029843220315,13.754124034710458,13.286007022711033,13.617944717407227,17704600,0.0,0.0
2013-12-10 00:00:00-05:00,14.086064807184242,14.469070257471701,14.052020780150892,14.35842514038086,21759600,0.0,0.0
2013-12-11 00:00:00-05:00,14.341402094412688,14.366934708448182,13.890306973616312,13.941373825073242,15990000,0.0,0.0
2013-12-12 00:00:00-05:00,13.575390907885689,14.052019415458505,13.566879496107466,14.009462356567383,15321000,0.0,0.0
2013-12-13 00:00:00-05:00,14.162665438934713,14.452046964590572,14.05202032542437,14.247777938842773,15426700,0.0,0.0
